날짜,요일,홈,방문,구장,관중수
2017/06/02,금,롯데,KT,사직,"13,115"
2017/06/02,금,LG,NC,잠실,"11,227"
2017/06/02,금,넥센,두산,고척,"8,389"
2017/06/02,금,한화,SK,대전,"7,641"
2017/06/03,토,삼성,KIA,대구,"18,148"
2017/06/03,토,롯데,KT,사직,"22,303"
2017/06/03,토,LG,NC,잠실,"19,180"
2017/06/03,토,넥센,두산,고척,"15,542"
2017/06/03,토,한화,SK,대전,"13,000"
2017/06/04,일,삼성,KIA,대구,"16,588"
2017/06/04,일,롯데,KT,사직,"14,836"
2017/06/04,일,LG,NC,잠실,"14,832"
2017/06/04,일,넥센,두산,고척,"12,839"
2017/06/04,일,한화,SK,대전,"11,217"
2017/06/06,화,NC,롯데,마산,"9,323"
2017/06/06,화,두산,삼성,잠실,"21,253"
2017/06/06,화,SK,넥센,문학,"17,997"
2017/06/07,수,KIA,한화,광주,"9,313"
2017/06/07,수,KT,LG,수원,"4,904"
2017/06/07,수,NC,롯데,마산,"9,494"
2017/06/07,수,두산,삼성,잠실,"9,149"
2017/06/07,수,SK,넥센,문학,"5,058"
2017/06/08,목,KIA,한화,광주,"12,060"
2017/06/08,목,KT,LG,수원,"7,696"
2017/06/08,목,NC,롯데,마산,"8,340"
2017/06/08,목,두산,삼성,잠실,"10,260"
2017/06/08,목,SK,넥센,문학,"5,903"
2017/06/09,금,NC,KT,마산,"6,611"
2017/06/09,금,롯데,두산,울산,"9,058"
2017/06/09,금,LG,SK,잠실,"11,023"
2017/06/09,금,한화,삼성,대전,"8,205"
2017/06/09,금,KIA,넥센,광주,"20,500"
2017/06/10,토,NC,KT,마산,"8,583"
2017/06/10,토,롯데,두산,울산,"9,777"
2017/06/10,토,LG,SK,잠실,"18,293"
2017/06/10,토,한화,삼성,대전,"13,000"
2017/06/10,토,KIA,넥센,광주,"20,500"
2017/06/11,일,NC,KT,마산,"7,088"
2017/06/11,일,롯데,두산,울산,"8,490"
2017/06/11,일,LG,SK,잠실,"13,837"
2017/06/11,일,한화,삼성,대전,"10,109"
2017/06/11,일,KIA,넥센,광주,"13,795"
2017/06/13,화,SK,한화,문학,"7,688"
2017/06/13,화,롯데,KIA,사직,"8,960"
2017/06/13,화,삼성,KT,포항,"5,973"
2017/06/13,화,두산,LG,잠실,"14,565"
2017/06/13,화,넥센,NC,고척,"5,621"
2017/06/14,수,SK,한화,문학,"8,657"
2017/06/14,수,롯데,KIA,사직,"9,430"
2017/06/14,수,삼성,KT,포항,"7,092"
2017/06/14,수,두산,LG,잠실,"16,136"
2017/06/14,수,넥센,NC,고척,"4,020"
2017/06/15,목,SK,한화,문학,"9,111"
2017/06/15,목,롯데,KIA,사직,"10,563"
